Total Nacional;Comunidades y Ciudades Autónomas;Mes;Sexo;Total
Total Nacional;10 Comunitat Valenciana;Mayo;Total;3.479
Total Nacional;10 Comunitat Valenciana;Mayo;Hombres;1.849
Total Nacional;10 Comunitat Valenciana;Mayo;Mujeres;1.630
Total Nacional;10 Comunitat Valenciana;Junio;Total;3.370
Total Nacional;10 Comunitat Valenciana;Junio;Hombres;1.720
Total Nacional;10 Comunitat Valenciana;Junio;Mujeres;1.650
Total Nacional;10 Comunitat Valenciana;Julio;Total;3.781
Total Nacional;10 Comunitat Valenciana;Julio;Hombres;1.951
Total Nacional;10 Comunitat Valenciana;Julio;Mujeres;1.830
Total Nacional;10 Comunitat Valenciana;Agosto;Total;3.960
Total Nacional;10 Comunitat Valenciana;Agosto;Hombres;2.043
Total Nacional;10 Comunitat Valenciana;Agosto;Mujeres;1.917
Total Nacional;10 Comunitat Valenciana;Septiembre;Total;3.429
Total Nacional;10 Comunitat Valenciana;Septiembre;Hombres;1.765
Total Nacional;10 Comunitat Valenciana;Septiembre;Mujeres;1.664
Total Nacional;10 Comunitat Valenciana;Octubre;Total;3.512
Total Nacional;10 Comunitat Valenciana;Octubre;Hombres;1.802
Total Nacional;10 Comunitat Valenciana;Octubre;Mujeres;1.710
Total Nacional;10 Comunitat Valenciana;Noviembre;Total;4.071
Total Nacional;10 Comunitat Valenciana;Noviembre;Hombres;2.145
Total Nacional;10 Comunitat Valenciana;Noviembre;Mujeres;1.926
Total Nacional;10 Comunitat Valenciana;Diciembre;Total;4.633
Total Nacional;10 Comunitat Valenciana;Diciembre;Hombres;2.428
Total Nacional;10 Comunitat Valenciana;Diciembre;Mujeres;2.205
Total Nacional;11 Extremadura;Total;Total;12.333
Total Nacional;11 Extremadura;Total;Hombres;6.350
Total Nacional;11 Extremadura;Total;Mujeres;5.983
Total Nacional;11 Extremadura;Enero;Total;1.620
Total Nacional;11 Extremadura;Enero;Hombres;809
Total Nacional;11 Extremadura;Enero;Mujeres;811
Total Nacional;11 Extremadura;Febrero;Total;1.124
Total Nacional;11 Extremadura;Febrero;Hombres;616
Total Nacional;11 Extremadura;Febrero;Mujeres;508
Total Nacional;11 Extremadura;Marzo;Total;943
Total Nacional;11 Extremadura;Marzo;Hombres;480
Total Nacional;11 Extremadura;Marzo;Mujeres;463
Total Nacional;11 Extremadura;Abril;Total;907
Total Nacional;11 Extremadura;Abril;Hombres;461
Total Nacional;11 Extremadura;Abril;Mujeres;446
Total Nacional;11 Extremadura;Mayo;Total;880
Total Nacional;11 Extremadura;Mayo;Hombres;459
Total Nacional;11 Extremadura;Mayo;Mujeres;421
Total Nacional;11 Extremadura;Junio;Total;850
Total Nacional;11 Extremadura;Junio;Hombres;431
Total Nacional;11 Extremadura;Junio;Mujeres;419
Total Nacional;11 Extremadura;Julio;Total;963
Total Nacional;11 Extremadura;Julio;Hombres;514
Total Nacional;11 Extremadura;Julio;Mujeres;449
Total Nacional;11 Extremadura;Agosto;Total;1.039
Total Nacional;11 Extremadura;Agosto;Hombres;523
Total Nacional;11 Extremadura;Agosto;Mujeres;516
Total Nacional;11 Extremadura;Septiembre;Total;954
Total Nacional;11 Extremadura;Septiembre;Hombres;524
Total Nacional;11 Extremadura;Septiembre;Mujeres;430
Total Nacional;11 Extremadura;Octubre;Total;919
Total Nacional;11 Extremadura;Octubre;Hombres;468
Total Nacional;11 Extremadura;Octubre;Mujeres;451
Total Nacional;11 Extremadura;Noviembre;Total;990
Total Nacional;11 Extremadura;Noviembre;Hombres;481
Total Nacional;11 Extremadura;Noviembre;Mujeres;509
Total Nacional;11 Extremadura;Diciembre;Total;1.144
Total Nacional;11 Extremadura;Diciembre;Hombres;584
Total Nacional;11 Extremadura;Diciembre;Mujeres;560
Total Nacional;12 Galicia;Total;Total;32.841
Total Nacional;12 Galicia;Total;Hombres;16.586
Total Nacional;12 Galicia;Total;Mujeres;16.255
Total Nacional;12 Galicia;Enero;Total;3.519
Total Nacional;12 Galicia;Enero;Hombres;1.805
Total Nacional;12 Galicia;Enero;Mujeres;1.714
Total Nacional;12 Galicia;Febrero;Total;2.779
Total Nacional;12 Galicia;Febrero;Hombres;1.415
Total Nacional;12 Galicia;Febrero;Mujeres;1.364
Total Nacional;12 Galicia;Marzo;Total;2.794
Total Nacional;12 Galicia;Marzo;Hombres;1.477
Total Nacional;12 Galicia;Marzo;Mujeres;1.317
Total Nacional;12 Galicia;Abril;Total;2.619
Total Nacional;12 Galicia;Abril;Hombres;1.294
Total Nacional;12 Galicia;Abril;Mujeres;1.325
Total Nacional;12 Galicia;Mayo;Total;2.584
Total Nacional;12 Galicia;Mayo;Hombres;1.276
Total Nacional;12 Galicia;Mayo;Mujeres;1.308
Total Nacional;12 Galicia;Junio;Total;2.450
Total Nacional;12 Galicia;Junio;Hombres;1.255
Total Nacional;12 Galicia;Junio;Mujeres;1.195
Total Nacional;12 Galicia;Julio;Total;2.575
Total Nacional;12 Galicia;Julio;Hombres;1.301
Total Nacional;12 Galicia;Julio;Mujeres;1.274
Total Nacional;12 Galicia;Agosto;Total;2.626
Total Nacional;12 Galicia;Agosto;Hombres;1.341
Total Nacional;12 Galicia;Agosto;Mujeres;1.285
Total Nacional;12 Galicia;Septiembre;Total;2.437
Total Nacional;12 Galicia;Septiembre;Hombres;1.226
Total Nacional;12 Galicia;Septiembre;Mujeres;1.211
Total Nacional;12 Galicia;Octubre;Total;2.527
Total Nacional;12 Galicia;Octubre;Hombres;1.248
Total Nacional;12 Galicia;Octubre;Mujeres;1.279
Total Nacional;12 Galicia;Noviembre;Total;2.853
Total Nacional;12 Galicia;Noviembre;Hombres;1.405
Total Nacional;12 Galicia;Noviembre;Mujeres;1.448
Total Nacional;12 Galicia;Diciembre;Total;3.078
Total Nacional;12 Galicia;Diciembre;Hombres;1.543
Total Nacional;12 Galicia;Diciembre;Mujeres;1.535
Total Nacional;13 Madrid, Comunidad de;Total;Total;49.848
Total Nacional;13 Madrid, Comunidad de;Total;Hombres;25.171
Total Nacional;13 Madrid, Comunidad de;Total;Mujeres;24.677
Total Nacional;13 Madrid, Comunidad de;Enero;Total;5.625
Total Nacional;13 Madrid, Comunidad de;Enero;Hombres;2.901
Total Nacional;13 Madrid, Comunidad de;Enero;Mujeres;2.724
Total Nacional;13 Madrid, Comunidad de;Febrero;Total;4.585
Total Nacional;13 Madrid, Comunidad de;Febrero;Hombres;2.411
Total Nacional;13 Madrid, Comunidad de;Febrero;Mujeres;2.174
Total Nacional;13 Madrid, Comunidad de;Marzo;Total;4.254
Total Nacional;13 Madrid, Comunidad de;Marzo;Hombres;2.201
Total Nacional;13 Madrid, Comunidad de;Marzo;Mujeres;2.053
Total Nacional;13 Madrid, Comunidad de;Abril;Total;3.897
Total Nacional;13 Madrid, Comunidad de;Abril;Hombres;2.034
Total Nacional;13 Madrid, Comunidad de;Abril;Mujeres;1.863
Total Nacional;13 Madrid, Comunidad de;Mayo;Total;3.918
Total Nacional;13 Madrid, Comunidad de;Mayo;Hombres;2.003
Total Nacional;13 Madrid, Comunidad de;Mayo;Mujeres;1.915
Total Nacional;13 Madrid, Comunidad de;Junio;Total;3.561
Total Nacional;13 Madrid, Comunidad de;Junio;Hombres;1.791
Total Nacional;13 Madrid, Comunidad de;Junio;Mujeres;1.770
Total Nacional;13 Madrid, Comunidad de;Julio;Total;3.811
Total Nacional;13 Madrid, Comunidad de;Julio;Hombres;1.887
Total Nacional;13 Madrid, Comunidad de;Julio;Mujeres;1.924
Total Nacional;13 Madrid, Comunidad de;Agosto;Total;4.455
Total Nacional;13 Madrid, Comunidad de;Agosto;Hombres;2.178
Total Nacional;13 Madrid, Comunidad de;Agosto;Mujeres;2.277
Total Nacional;13 Madrid, Comunidad de;Septiembre;Total;3.646
Total Nacional;13 Madrid, Comunidad de;Septiembre;Hombres;1.819
Total Nacional;13 Madrid, Comunidad de;Septiembre;Mujeres;1.827
Total Nacional;13 Madrid, Comunidad de;Octubre;Total;3.706
Total Nacional;13 Madrid, Comunidad de;Octubre;Hombres;1.788
Total Nacional;13 Madrid, Comunidad de;Octubre;Mujeres;1.918
Total Nacional;13 Madrid, Comunidad de;Noviembre;Total;3.970
Total Nacional;13 Madrid, Comunidad de;Noviembre;Hombres;1.966
Total Nacional;13 Madrid, Comunidad de;Noviembre;Mujeres;2.004
Total Nacional;13 Madrid, Comunidad de;Diciembre;Total;4.420
Total Nacional;13 Madrid, Comunidad de;Diciembre;Hombres;2.192
Total Nacional;13 Madrid, Comunidad de;Diciembre;Mujeres;2.228
Total Nacional;14 Murcia, Región de;Total;Total;12.530
Total Nacional;14 Murcia, Región de;Total;Hombres;6.508
Total Nacional;14 Murcia, Región de;Total;Mujeres;6.022
Total Nacional;14 Murcia, Región de;Enero;Total;1.633
Total Nacional;14 Murcia, Región de;Enero;Hombres;849
Total Nacional;14 Murcia, Región de;Enero;Mujeres;784
Total Nacional;14 Murcia, Región de;Febrero;Total;1.134
Total Nacional;14 Murcia, Región de;Febrero;Hombres;604
Total Nacional;14 Murcia, Región de;Febrero;Mujeres;530
Total Nacional;14 Murcia, Región de;Marzo;Total;998
Total Nacional;14 Murcia, Región de;Marzo;Hombres;535
Total Nacional;14 Murcia, Región de;Marzo;Mujeres;463
Total Nacional;14 Murcia, Región de;Abril;Total;903
Total Nacional;14 Murcia, Región de;Abril;Hombres;467
Total Nacional;14 Murcia, Región de;Abril;Mujeres;436
Total Nacional;14 Murcia, Región de;Mayo;Total;943
Total Nacional;14 Murcia, Región de;Mayo;Hombres;482
Total Nacional;14 Murcia, Región de;Mayo;Mujeres;461
Total Nacional;14 Murcia, Región de;Junio;Total;921
Total Nacional;14 Murcia, Región de;Junio;Hombres;471
Total Nacional;14 Murcia, Región de;Junio;Mujeres;450
Total Nacional;14 Murcia, Región de;Julio;Total;942
Total Nacional;14 Murcia, Región de;Julio;Hombres;479
Total Nacional;14 Murcia, Región de;Julio;Mujeres;463
Total Nacional;14 Murcia, Región de;Agosto;Total;1.016
Total Nacional;14 Murcia, Región de;Agosto;Hombres;503
Total Nacional;14 Murcia, Región de;Agosto;Mujeres;513
Total Nacional;14 Murcia, Región de;Septiembre;Total;905
Total Nacional;14 Murcia, Región de;Septiembre;Hombres;495
Total Nacional;14 Murcia, Región de;Septiembre;Mujeres;410
Total Nacional;14 Murcia, Región de;Octubre;Total;924
Total Nacional;14 Murcia, Región de;Octubre;Hombres;476
Total Nacional;14 Murcia, Región de;Octubre;Mujeres;448
Total Nacional;14 Murcia, Región de;Noviembre;Total;941
Total Nacional;14 Murcia, Región de;Noviembre;Hombres;488
Total Nacional;14 Murcia, Región de;Noviembre;Mujeres;453
Total Nacional;14 Murcia, Región de;Diciembre;Total;1.270
Total Nacional;14 Murcia, Región de;Diciembre;Hombres;659
Total Nacional;14 Murcia, Región de;Diciembre;Mujeres;611
Total Nacional;15 Navarra, Comunidad Foral de;Total;Total;5.760
Total Nacional;15 Navarra, Comunidad Foral de;Total;Hombres;2.981
Total Nacional;15 Navarra, Comunidad Foral de;Total;Mujeres;2.779
Total Nacional;15 Navarra, Comunidad Foral de;Enero;Total;541
Total Nacional;15 Navarra, Comunidad Foral de;Enero;Hombres;287
Total Nacional;15 Navarra, Comunidad Foral de;Enero;Mujeres;254
Total Nacional;15 Navarra, Comunidad Foral de;Febrero;Total;450
Total Nacional;15 Navarra, Comunidad Foral de;Febrero;Hombres;248
Total Nacional;15 Navarra, Comunidad Foral de;Febrero;Mujeres;202
Total Nacional;15 Navarra, Comunidad Foral de;Marzo;Total;482
Total Nacional;15 Navarra, Comunidad Foral de;Marzo;Hombres;251
Total Nacional;15 Navarra, Comunidad Foral de;Marzo;Mujeres;231
Total Nacional;15 Navarra, Comunidad Foral de;Abril;Total;478
Total Nacional;15 Navarra, Comunidad Foral de;Abril;Hombres;252
Total Nacional;15 Navarra, Comunidad Foral de;Abril;Mujeres;226
Total Nacional;15 Navarra, Comunidad Foral de;Mayo;Total;457
Total Nacional;15 Navarra, Comunidad Foral de;Mayo;Hombres;256
Total Nacional;15 Navarra, Comunidad Foral de;Mayo;Mujeres;201
Total Nacional;15 Navarra, Comunidad Foral de;Junio;Total;413
Total Nacional;15 Navarra, Comunidad Foral de;Junio;Hombres;196
Total Nacional;15 Navarra, Comunidad Foral de;Junio;Mujeres;217
Total Nacional;15 Navarra, Comunidad Foral de;Julio;Total;444
Total Nacional;15 Navarra, Comunidad Foral de;Julio;Hombres;217
Total Nacional;15 Navarra, Comunidad Foral de;Julio;Mujeres;227
Total Nacional;15 Navarra, Comunidad Foral de;Agosto;Total;519
Total Nacional;15 Navarra, Comunidad Foral de;Agosto;Hombres;279
Total Nacional;15 Navarra, Comunidad Foral de;Agosto;Mujeres;240
Total Nacional;15 Navarra, Comunidad Foral de;Septiembre;Total;390
Total Nacional;15 Navarra, Comunidad Foral de;Septiembre;Hombres;199
Total Nacional;15 Navarra, Comunidad Foral de;Septiembre;Mujeres;191
Total Nacional;15 Navarra, Comunidad Foral de;Octubre;Total;509
Total Nacional;15 Navarra, Comunidad Foral de;Octubre;Hombres;255
Total Nacional;15 Navarra, Comunidad Foral de;Octubre;Mujeres;254
Total Nacional;15 Navarra, Comunidad Foral de;Noviembre;Total;502
Total Nacional;15 Navarra, Comunidad Foral de;Noviembre;Hombres;251
Total Nacional;15 Navarra, Comunidad Foral de;Noviembre;Mujeres;251
Total Nacional;15 Navarra, Comunidad Foral de;Diciembre;Total;575
Total Nacional;15 Navarra, Comunidad Foral de;Diciembre;Hombres;290
Total Nacional;15 Navarra, Comunidad Foral de;Diciembre;Mujeres;285
Total Nacional;16 País Vasco;Total;Total;23.082
Total Nacional;16 País Vasco;Total;Hombres;11.587
Total Nacional;16 País Vasco;Total;Mujeres;11.495
Total Nacional;16 País Vasco;Enero;Total;2.251
Total Nacional;16 País Vasco;Enero;Hombres;1.105
Total Nacional;16 País Vasco;Enero;Mujeres;1.146
Total Nacional;16 País Vasco;Febrero;Total;1.932
Total Nacional;16 País Vasco;Febrero;Hombres;981
Total Nacional;16 País Vasco;Febrero;Mujeres;951
Total Nacional;16 País Vasco;Marzo;Total;1.816
Total Nacional;16 País Vasco;Marzo;Hombres;948
Total Nacional;16 País Vasco;Marzo;Mujeres;868
Total Nacional;16 País Vasco;Abril;Total;1.830
Total Nacional;16 País Vasco;Abril;Hombres;929
Total Nacional;16 País Vasco;Abril;Mujeres;901
Total Nacional;16 País Vasco;Mayo;Total;1.849
Total Nacional;16 País Vasco;Mayo;Hombres;932
Total Nacional;16 País Vasco;Mayo;Mujeres;917
Total Nacional;16 País Vasco;Junio;Total;1.737
Total Nacional;16 País Vasco;Junio;Hombres;873
Total Nacional;16 País Vasco;Junio;Mujeres;864
Total Nacional;16 País Vasco;Julio;Total;1.783
Total Nacional;16 País Vasco;Julio;Hombres;921
Total Nacional;16 País Vasco;Julio;Mujeres;862
Total Nacional;16 País Vasco;Agosto;Total;1.937
Total Nacional;16 País Vasco;Agosto;Hombres;981
Total Nacional;16 País Vasco;Agosto;Mujeres;956
Total Nacional;16 País Vasco;Septiembre;Total;1.835
Total Nacional;16 País Vasco;Septiembre;Hombres;915
Total Nacional;16 País Vasco;Septiembre;Mujeres;920
Total Nacional;16 País Vasco;Octubre;Total;1.879
Total Nacional;16 País Vasco;Octubre;Hombres;940
Total Nacional;16 País Vasco;Octubre;Mujeres;939
Total Nacional;16 País Vasco;Noviembre;Total;1.965
Total Nacional;16 País Vasco;Noviembre;Hombres;939
Total Nacional;16 País Vasco;Noviembre;Mujeres;1.026
Total Nacional;16 País Vasco;Diciembre;Total;2.268
Total Nacional;16 País Vasco;Diciembre;Hombres;1.123
Total Nacional;16 País Vasco;Diciembre;Mujeres;1.145
Total Nacional;17 Rioja, La;Total;Total;3.409
Total Nacional;17 Rioja, La;Total;Hombres;1.742
Total Nacional;17 Rioja, La;Total;Mujeres;1.667
Total Nacional;17 Rioja, La;Enero;Total;369
Total Nacional;17 Rioja, La;Enero;Hombres;186
Total Nacional;17 Rioja, La;Enero;Mujeres;183
Total Nacional;17 Rioja, La;Febrero;Total;290
Total Nacional;17 Rioja, La;Febrero;Hombres;132
Total Nacional;17 Rioja, La;Febrero;Mujeres;158
Total Nacional;17 Rioja, La;Marzo;Total;292
Total Nacional;17 Rioja, La;Marzo;Hombres;156
Total Nacional;17 Rioja, La;Marzo;Mujeres;136
Total Nacional;17 Rioja, La;Abril;Total;272
Total Nacional;17 Rioja, La;Abril;Hombres;135
Total Nacional;17 Rioja, La;Abril;Mujeres;137
Total Nacional;17 Rioja, La;Mayo;Total;242
Total Nacional;17 Rioja, La;Mayo;Hombres;134
Total Nacional;17 Rioja, La;Mayo;Mujeres;108
Total Nacional;17 Rioja, La;Junio;Total;267
Total Nacional;17 Rioja, La;Junio;Hombres;132
Total Nacional;17 Rioja, La;Junio;Mujeres;135
Total Nacional;17 Rioja, La;Julio;Total;268
Total Nacional;17 Rioja, La;Julio;Hombres;145
Total Nacional;17 Rioja, La;Julio;Mujeres;123
Total Nacional;17 Rioja, La;Agosto;Total;276
Total Nacional;17 Rioja, La;Agosto;Hombres;133
Total Nacional;17 Rioja, La;Agosto;Mujeres;143
Total Nacional;17 Rioja, La;Septiembre;Total;251
Total Nacional;17 Rioja, La;Septiembre;Hombres;128
Total Nacional;17 Rioja, La;Septiembre;Mujeres;123
Total Nacional;17 Rioja, La;Octubre;Total;281
Total Nacional;17 Rioja, La;Octubre;Hombres;146
Total Nacional;17 Rioja, La;Octubre;Mujeres;135
Total Nacional;17 Rioja, La;Noviembre;Total;281
Total Nacional;17 Rioja, La;Noviembre;Hombres;126
Total Nacional;17 Rioja, La;Noviembre;Mujeres;155
Total Nacional;17 Rioja, La;Diciembre;Total;320
Total Nacional;17 Rioja, La;Diciembre;Hombres;189
Total Nacional;17 Rioja, La;Diciembre;Mujeres;131
Total Nacional;18 Ceuta;Total;Total;681
Total Nacional;18 Ceuta;Total;Hombres;354
Total Nacional;18 Ceuta;Total;Mujeres;327
Total Nacional;18 Ceuta;Enero;Total;74
Total Nacional;18 Ceuta;Enero;Hombres;44
Total Nacional;18 Ceuta;Enero;Mujeres;30
Total Nacional;18 Ceuta;Febrero;Total;66
Total Nacional;18 Ceuta;Febrero;Hombres;36
Total Nacional;18 Ceuta;Febrero;Mujeres;30
Total Nacional;18 Ceuta;Marzo;Total;66
Total Nacional;18 Ceuta;Marzo;Hombres;30
Total Nacional;18 Ceuta;Marzo;Mujeres;36
Total Nacional;18 Ceuta;Abril;Total;46
Total Nacional;18 Ceuta;Abril;Hombres;25
Total Nacional;18 Ceuta;Abril;Mujeres;21
Total Nacional;18 Ceuta;Mayo;Total;63
Total Nacional;18 Ceuta;Mayo;Hombres;31
Total Nacional;18 Ceuta;Mayo;Mujeres;32
Total Nacional;18 Ceuta;Junio;Total;46
Total Nacional;18 Ceuta;Junio;Hombres;25
Total Nacional;18 Ceuta;Junio;Mujeres;21
Total Nacional;18 Ceuta;Julio;Total;48
Total Nacional;18 Ceuta;Julio;Hombres;23
Total Nacional;18 Ceuta;Julio;Mujeres;25
Total Nacional;18 Ceuta;Agosto;Total;52
Total Nacional;18 Ceuta;Agosto;Hombres;26
Total Nacional;18 Ceuta;Agosto;Mujeres;26
Total Nacional;18 Ceuta;Septiembre;Total;50
Total Nacional;18 Ceuta;Septiembre;Hombres;30
Total Nacional;18 Ceuta;Septiembre;Mujeres;20
Total Nacional;18 Ceuta;Octubre;Total;50
Total Nacional;18 Ceuta;Octubre;Hombres;26
Total Nacional;18 Ceuta;Octubre;Mujeres;24
Total Nacional;18 Ceuta;Noviembre;Total;52
Total Nacional;18 Ceuta;Noviembre;Hombres;27
Total Nacional;18 Ceuta;Noviembre;Mujeres;25
Total Nacional;18 Ceuta;Diciembre;Total;68
Total Nacional;18 Ceuta;Diciembre;Hombres;31
Total Nacional;18 Ceuta;Diciembre;Mujeres;37
Total Nacional;19 Melilla;Total;Total;574
Total Nacional;19 Melilla;Total;Hombres;282
Total Nacional;19 Melilla;Total;Mujeres;292
Total Nacional;19 Melilla;Enero;Total;43
Total Nacional;19 Melilla;Enero;Hombres;22
Total Nacional;19 Melilla;Enero;Mujeres;21
Total Nacional;19 Melilla;Febrero;Total;65
Total Nacional;19 Melilla;Febrero;Hombres;32
Total Nacional;19 Melilla;Febrero;Mujeres;33
Total Nacional;19 Melilla;Marzo;Total;41
Total Nacional;19 Melilla;Marzo;Hombres;27
Total Nacional;19 Melilla;Marzo;Mujeres;14
Total Nacional;19 Melilla;Abril;Total;61
Total Nacional;19 Melilla;Abril;Hombres;29
Total Nacional;19 Melilla;Abril;Mujeres;32
Total Nacional;19 Melilla;Mayo;Total;44
Total Nacional;19 Melilla;Mayo;Hombres;22
Total Nacional;19 Melilla;Mayo;Mujeres;22
Total Nacional;19 Melilla;Junio;Total;42
Total Nacional;19 Melilla;Junio;Hombres;20
Total Nacional;19 Melilla;Junio;Mujeres;22
Total Nacional;19 Melilla;Julio;Total;45
Total Nacional;19 Melilla;Julio;Hombres;23
Total Nacional;19 Melilla;Julio;Mujeres;22
Total Nacional;19 Melilla;Agosto;Total;49
Total Nacional;19 Melilla;Agosto;Hombres;20
Total Nacional;19 Melilla;Agosto;Mujeres;29
Total Nacional;19 Melilla;Septiembre;Total;36
Total Nacional;19 Melilla;Septiembre;Hombres;13
Total Nacional;19 Melilla;Septiembre;Mujeres;23
Total Nacional;19 Melilla;Octubre;Total;53
Total Nacional;19 Melilla;Octubre;Hombres;26
Total Nacional;19 Melilla;Octubre;Mujeres;27
Total Nacional;19 Melilla;Noviembre;Total;42
Total Nacional;19 Melilla;Noviembre;Hombres;22
Total Nacional;19 Melilla;Noviembre;Mujeres;20
Total Nacional;19 Melilla;Diciembre;Total;53
Total Nacional;19 Melilla;Diciembre;Hombres;26
Total Nacional;19 Melilla;Diciembre;Mujeres;27
Extranjero;;Total;Total;1.417
Extranjero;;Total;Hombres;978
Extranjero;;Total;Mujeres;439
Extranjero;;Enero;Total;91
Extranjero;;Enero;Hombres;65
Extranjero;;Enero;Mujeres;26
Extranjero;;Febrero;Total;64
Extranjero;;Febrero;Hombres;48
Extranjero;;Febrero;Mujeres;16
Extranjero;;Marzo;Total;74
Extranjero;;Marzo;Hombres;57
Extranjero;;Marzo;Mujeres;17
Extranjero;;Abril;Total;75
Extranjero;;Abril;Hombres;53
Extranjero;;Abril;Mujeres;22
Extranjero;;Mayo;Total;78
Extranjero;;Mayo;Hombres;47
Extranjero;;Mayo;Mujeres;31
Extranjero;;Junio;Total;102
Extranjero;;Junio;Hombres;67
Extranjero;;Junio;Mujeres;35
Extranjero;;Julio;Total;112
Extranjero;;Julio;Hombres;69
Extranjero;;Julio;Mujeres;43
Extranjero;;Agosto;Total;172
Extranjero;;Agosto;Hombres;113
Extranjero;;Agosto;Mujeres;59
Extranjero;;Septiembre;Total;147
Extranjero;;Septiembre;Hombres;107
Extranjero;;Septiembre;Mujeres;40
Extranjero;;Octubre;Total;175
Extranjero;;Octubre;Hombres;117
Extranjero;;Octubre;Mujeres;58
Extranjero;;Noviembre;Total;170
Extranjero;;Noviembre;Hombres;130
Extranjero;;Noviembre;Mujeres;40
Extranjero;;Diciembre;Total;157
Extranjero;;Diciembre;Hombres;105
Extranjero;;Diciembre;Mujeres;52
